"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","281","testLoginErrorMessage","All Test Suite","Sat Apr 19 15:51:29 GMT 2025","passed","Sat Apr 19 15:51:29 GMT 2025","package1.tests.login.loginTest","D:/UTSC/selenium_practice","package1.tests.login.loginTest","testLoginErrorMessage"
"","575","testProductsDashboard","All Test Suite","Sat Apr 19 15:51:30 GMT 2025","passed","Sat Apr 19 15:51:31 GMT 2025","package1.tests.products.productsTest","D:/UTSC/selenium_practice","package1.tests.products.productsTest","testProductsDashboard"
