"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","457","testProductsDashboard","All Test Suite","Sat Apr 19 15:37:05 GMT 2025","passed","Sat Apr 19 15:37:06 GMT 2025","package1.tests.products.productsTest","D:/UTSC/selenium_practice","package1.tests.products.productsTest","testProductsDashboard"
"","679","testLoginErrorMessage","All Test Suite","Sat Apr 19 15:37:04 GMT 2025","passed","Sat Apr 19 15:37:05 GMT 2025","package1.tests.login.loginTest","D:/UTSC/selenium_practice","package1.tests.login.loginTest","testLoginErrorMessage"
